epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.001,3.0,Motion,0.0932,0.1845,1.2644,0.105,132.75
1,1.655,4.444,Motion,0.2414,0.2553,1.4304,0.2242,130.73
2,3.0,5.905,Motion,0.3875,0.2823,1.5009,0.2743,126.47
3,4.448,7.283,Motion,0.4215,0.2725,1.5323,0.2674,122.04
4,5.906,8.714,Motion,0.3706,0.273,1.5323,0.3007,118.54
5,7.3,10.11,Motion,0.3091,0.263,1.5301,0.3032,115.66
6,8.718,11.493,Motion,0.2596,0.194,1.3847,0.247,111.4
7,10.114,12.864,Motion,0.2352,0.1726,1.5007,0.2211,106.46
8,11.493,14.178,Motion,0.2393,0.2003,1.499,0.2337,102.82
9,12.866,15.466,Motion,0.243,0.2078,1.5008,0.2695,99.52
10,14.182,16.75,Motion,0.2188,0.1943,1.2079,0.263,95.46
11,15.47,18.065,Motion,0.2137,0.2059,1.1411,0.2506,89.55
12,16.755,19.339,Motion,0.2194,0.2183,1.1755,0.2723,86.56
13,18.066,20.597,Motion,0.2054,0.1996,1.1755,0.2725,86.51
14,19.34,21.861,Motion,0.2002,0.1781,1.1267,0.278,84.96
15,20.605,23.138,Motion,0.2054,0.1702,0.9277,0.2879,81.67
16,21.87,24.385,Motion,0.2083,0.1814,0.8309,0.3068,77.84
17,23.139,25.654,Motion,0.2152,0.194,0.8407,0.3205,75.55
18,24.388,26.937,Motion,0.2031,0.1749,0.8407,0.3138,73.88
19,25.659,28.277,Motion,0.1903,0.1486,0.8366,0.2922,72.91
20,26.945,29.561,Motion,0.2012,0.1555,0.7681,0.286,70.85
21,28.283,31.195,Motion,0.2111,0.1663,0.6709,0.3243,68.9
22,29.568,36.86,Motion,0.1909,0.1542,0.6695,0.326,69.99
