epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.025,26.052,Motion,0.1931,0.1326,0.5049,0.1366,122.75
1,13.365,40.672,Motion,0.084,0.0664,0.2195,0.0539,95.83
2,26.53,56.536,Motion,0.1414,0.1754,0.6103,0.188,76.66
3,41.182,73.194,Motion,0.1913,0.15,0.6104,0.2166,70.5
4,57.105,88.558,Motion,0.1214,0.0464,0.2071,0.1233,71.45
5,73.798,103.856,Normal,0.088,0.0736,0.2402,0.1094,75.0
6,89.022,118.389,Normal,0.0426,0.0629,0.2402,0.0388,75.0
7,104.32,132.824,Irregular,0.0121,0.0116,0.037,0.0119,74.5
8,118.831,145.801,Motion,0.0047,0.0049,0.0166,0.0112,66.94
9,133.196,160.826,Motion,0.1466,0.233,0.7427,0.2165,58.98
10,146.253,179.643,Motion,0.2986,0.2393,0.7399,0.3569,57.54
11,161.391,180.609,Motion,0.2941,0.2131,0.6592,0.2706,57.14
