epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.0,2.95,Normal,44.3001,45.7292,188.6719,0.0,105.38
1,1.28,4.28,Normal,66.3519,39.4377,229.6875,0.0,90.24
2,2.95,5.47,Normal,70.5436,37.4122,235.5469,0.0,85.1
3,4.28,6.71,Normal,71.3453,36.9489,235.5316,0.0,81.38
4,5.47,7.93,Normal,70.2679,37.0209,215.6097,0.0,81.16
5,6.71,9.25,Normal,69.1411,38.9841,217.9512,0.0,81.07
6,7.93,10.26,Normal,69.9304,37.9659,217.9512,0.0,78.21
7,9.26,11.24,Normal,70.2555,34.3909,195.683,0.0,75.53
8,10.27,12.14,Normal,69.8876,33.4818,215.6198,0.0,75.3
9,11.24,13.12,Normal,68.9092,33.5459,215.6214,0.0,75.58
10,12.14,14.04,Normal,67.4597,33.2565,119.5307,0.0,75.47
11,13.12,15.08,Normal,68.2825,33.3315,119.5307,0.0,74.67
12,14.04,16.07,Normal,68.2011,33.2104,119.5246,0.0,72.91
13,15.08,17.1,Normal,66.7895,33.2614,119.5257,0.0,71.95
14,16.07,18.09,Normal,67.3352,33.7516,119.531,0.0,71.84
15,17.11,19.17,Normal,67.4968,33.5863,118.3592,0.0,70.82
16,18.09,20.23,Normal,68.4636,34.156,118.3571,0.0,69.89
17,19.17,21.32,Normal,68.7087,34.5063,118.3519,0.0,69.99
18,20.24,22.28,Normal,67.1008,33.4873,119.5294,0.0,70.36
19,21.32,23.29,Normal,68.5209,33.154,119.5294,0.0,68.94
20,22.28,24.31,Normal,68.2757,32.86,119.5285,0.0,68.23
21,23.3,25.37,Normal,67.3376,33.0521,118.3567,0.0,68.62
22,24.31,26.37,Normal,67.6463,32.4202,118.3584,0.0,68.09
23,25.37,27.42,Normal,67.3013,31.7112,118.3584,0.0,68.22
24,26.37,28.54,Normal,66.0328,33.0454,118.3574,0.0,68.86
25,27.42,29.63,Normal,65.8775,33.5198,118.3524,0.0,69.84
26,28.54,nan,Normal,nan,nan,nan,0.0,70.24
27,29.63,nan,Normal,nan,nan,nan,0.0,69.63
28,nan,nan,Normal,nan,nan,nan,0.0,
29,nan,nan,Normal,nan,nan,nan,0.0,
30,nan,nan,Normal,nan,nan,nan,0.0,
31,nan,nan,Normal,nan,nan,nan,0.0,
