epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.0,29.6,Normal,0.7632,0.37,1.1864,0.3515,63.45
1,15.2,44.8,Normal,0.765,0.3721,1.2117,0.3562,64.56
2,30.4,60.0,Normal,0.767,0.3688,1.2184,0.3622,65.24
3,45.6,75.2,Normal,0.7655,0.3679,1.2184,0.3686,65.43
4,60.8,90.4,Normal,0.7658,0.3693,1.2106,0.3721,64.89
5,76.0,105.6,Normal,0.7642,0.3674,1.2057,0.3659,63.62
6,91.2,120.8,Normal,0.7612,0.37,1.1968,0.3617,62.34
7,106.4,136.0,Normal,0.7622,0.3678,1.1922,0.3588,60.93
8,121.6,151.2,Normal,0.761,0.3682,1.2032,0.354,59.49
9,136.8,166.4,Normal,0.7612,0.3709,1.2086,0.3653,58.81
10,152.0,181.6,Normal,0.7635,0.3686,1.2049,0.3696,58.66
11,167.2,196.8,Normal,0.7656,0.37,1.2222,0.3615,58.89
12,182.4,212.0,Normal,0.7675,0.3678,1.2175,0.3628,59.78
13,197.6,227.2,Normal,0.7663,0.3677,1.2034,0.3653,61.17
14,212.8,242.4,Normal,0.7622,0.3738,1.2131,0.3722,62.77
15,228.0,257.6,Normal,0.7654,0.3711,1.215,0.3708,64.2
16,243.2,272.8,Normal,0.7669,0.3676,1.2205,0.3691,65.17
17,258.4,288.0,Normal,0.7646,0.3683,1.2041,0.3662,65.54
18,273.6,303.2,Normal,0.7642,0.3745,1.2097,0.3664,65.29
19,288.8,318.4,Normal,0.7669,0.3712,1.2097,0.3643,64.43
20,304.0,333.6,Normal,0.7654,0.3716,1.2091,0.3619,63.14
21,319.2,348.8,Normal,0.7626,0.3688,1.1995,0.3577,61.58
22,334.4,364.0,Normal,0.7631,0.3662,1.2081,0.361,60.13
23,349.6,379.2,Normal,0.767,0.3724,1.2146,0.373,58.99
24,364.8,394.4,Normal,0.7635,0.3661,1.201,0.3708,58.45
25,380.0,409.6,Normal,0.7621,0.3657,1.2151,0.3646,58.56
26,395.2,424.8,Normal,0.7642,0.3728,1.2212,0.3644,59.39
27,410.4,440.0,Normal,0.7623,0.3708,1.2192,0.3642,60.6
28,425.6,455.2,Normal,0.7611,0.3708,1.1971,0.3623,62.05
29,440.8,470.4,Normal,0.7625,0.3702,1.1934,0.367,63.6
30,456.0,485.6,Normal,0.7648,0.3687,1.2196,0.3723,64.63
31,471.2,500.8,Normal,0.7664,0.3692,1.2241,0.3669,65.31
32,486.4,516.0,Normal,0.7658,0.3693,1.1931,0.3524,65.37
33,501.6,531.2,Normal,0.7651,0.3644,1.2155,0.3631,64.82
34,516.8,546.4,Normal,0.7633,0.3654,1.2111,0.3727,63.77
35,532.0,561.6,Normal,0.7628,0.3713,1.2107,0.3662,62.36
36,547.2,576.8,Normal,0.763,0.3647,1.2055,0.3576,60.89
37,562.4,592.0,Normal,0.7619,0.3645,1.2058,0.3608,59.6
38,577.6,607.2,Normal,0.7618,0.3699,1.221,0.3711,58.76
39,592.8,622.4,Normal,0.7612,0.3691,1.2179,0.3692,58.42
40,608.0,637.6,Normal,0.7598,0.3721,1.2098,0.3631,58.94
41,623.2,652.8,Normal,0.764,0.3673,1.1999,0.3649,60.0
42,638.4,668.0,Normal,0.765,0.3698,1.2219,0.3671,61.37
43,653.6,683.2,Normal,0.7623,0.374,1.2219,0.3641,62.83
44,668.8,698.4,Normal,0.7652,0.3679,1.2156,0.3674,64.21
45,684.0,713.6,Normal,0.7646,0.3691,1.2134,0.369,65.26
46,699.2,728.8,Normal,0.7619,0.3718,1.2132,0.363,65.5
47,714.4,744.0,Normal,0.7628,0.3706,1.2045,0.3576,65.2
48,729.6,759.2,Normal,0.7652,0.3688,1.214,0.3595,64.44
49,744.8,774.4,Normal,0.7669,0.3716,1.2158,0.3685,63.13
50,760.0,789.6,Normal,0.7674,0.3679,1.2094,0.3621,61.62
51,775.2,804.8,Normal,0.766,0.3694,1.2095,0.3553,60.21
52,790.4,820.0,Normal,0.7636,0.3754,1.2134,0.3626,59.12
53,805.6,835.2,Normal,0.766,0.3699,1.206,0.3624,58.51
54,820.8,850.4,Normal,0.766,0.3704,1.2248,0.3633,58.57
55,836.0,865.6,Normal,0.7643,0.3714,1.2248,0.3688,59.45
56,851.2,880.8,Normal,0.7642,0.3669,1.2085,0.3692,60.62
57,866.4,896.0,Normal,0.7639,0.3712,1.2108,0.3702,62.03
58,881.6,911.2,Normal,0.7677,0.3687,1.2102,0.3733,63.59
59,896.8,926.4,Normal,0.7672,0.3684,1.2012,0.37,64.67
60,912.0,941.6,Normal,0.7652,0.3675,1.2035,0.3718,65.33
61,927.2,956.8,Normal,0.7647,0.3709,1.2171,0.3757,65.47
62,942.4,972.0,Normal,0.7658,0.3708,1.2207,0.3641,64.98
63,957.6,987.2,Normal,0.7618,0.3744,1.2162,0.3616,63.66
64,972.8,1002.4,Normal,0.7611,0.3738,1.225,0.3707,62.27
65,988.0,1017.6,Normal,0.7634,0.3705,1.2231,0.3742,60.92
66,1003.2,1032.8,Normal,0.7648,0.3735,1.2177,0.3682,59.59
67,1018.4,1048.0,Normal,0.7646,0.3718,1.2071,0.3757,58.69
68,1033.6,1063.2,Normal,0.7631,0.37,1.1834,0.3688,58.45
69,1048.8,1078.4,Normal,0.7619,0.3699,1.1798,0.3555,58.9
70,1064.0,1093.6,Normal,0.764,0.3679,1.2025,0.3587,59.97
71,1079.2,1108.8,Normal,0.7667,0.3707,1.2128,0.3652,61.26
72,1094.4,1124.0,Normal,0.7687,0.3719,1.2045,0.3649,62.77
73,1109.6,1139.2,Normal,0.7679,0.3676,1.2112,0.3688,64.23
74,1124.8,1154.4,Normal,0.7669,0.3653,1.2091,0.3688,65.2
75,1140.0,1169.6,Normal,0.7652,0.3692,1.2169,0.3675,65.5
76,1155.2,1184.8,Normal,0.7653,0.3677,1.2169,0.3642,65.15
