epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.0,29.6,Normal,0.7394,0.3696,1.2626,0.2214,76.8
1,15.2,44.8,Motion,0.7134,0.3572,1.2178,0.2706,77.62
2,30.4,60.0,Motion,0.7179,0.3585,1.2596,0.3285,77.79
3,45.6,75.2,Motion,0.7418,0.3577,1.2541,0.2873,77.97
4,60.8,90.4,Motion,0.7534,0.3411,1.1849,0.2878,78.97
5,76.0,105.6,Motion,0.7342,0.3459,1.2346,0.3325,79.42
6,91.2,120.8,Motion,0.7469,0.3477,1.2305,0.2872,79.53
7,106.4,136.0,Motion,0.7357,0.3655,1.239,0.2684,80.04
8,121.6,151.2,Motion,0.709,0.3838,1.2573,0.3324,80.52
9,136.8,166.4,Motion,0.7504,0.366,1.211,0.3205,80.41
10,152.0,181.6,Motion,0.7386,0.3635,1.2571,0.27,80.51
11,167.2,196.8,Motion,0.7309,0.3827,1.3255,0.3095,80.86
12,182.4,212.0,Motion,0.7404,0.3743,1.3255,0.3324,80.97
13,197.6,227.2,Motion,0.7524,0.3414,1.215,0.3163,80.55
14,212.8,242.4,Motion,0.7372,0.347,1.2106,0.2926,80.07
15,228.0,257.6,Motion,0.7321,0.3672,1.2245,0.2852,79.69
16,243.2,272.8,Motion,0.7275,0.3693,1.2458,0.3404,79.28
17,258.4,288.0,Motion,0.7602,0.3648,1.2346,0.3435,78.86
18,273.6,303.2,Motion,0.7527,0.3623,1.2675,0.2754,78.55
19,288.8,318.4,Motion,0.733,0.3678,1.2675,0.263,78.27
20,304.0,333.6,Motion,0.7384,0.3681,1.2064,0.259,77.52
21,319.2,348.8,Motion,0.7402,0.3559,1.1847,0.2738,76.76
22,334.4,364.0,Motion,0.7294,0.3655,1.1847,0.2659,76.29
23,349.6,379.2,Motion,0.7358,0.3592,1.2381,0.2584,75.61
24,364.8,394.4,Motion,0.7337,0.3568,1.2477,0.2473,75.38
25,380.0,409.6,Motion,0.7434,0.3502,1.2465,0.2159,74.97
26,395.2,424.8,Normal,0.7334,0.3537,1.2396,0.2149,74.22
27,410.4,440.0,Normal,0.7237,0.3667,1.2657,0.2426,73.28
28,425.6,455.2,Normal,0.7376,0.3768,1.2657,0.2511,72.87
29,440.8,470.4,Motion,0.7385,0.3678,1.2584,0.2605,72.69
30,456.0,485.6,Motion,0.7363,0.3646,1.274,0.237,72.17
31,471.2,500.8,Motion,0.7265,0.3722,1.28,0.2582,71.96
32,486.4,516.0,Motion,0.7224,0.3642,1.2813,0.3015,71.62
33,501.6,531.2,Motion,0.7301,0.3564,1.2536,0.294,71.29
34,516.8,546.4,Motion,0.7288,0.3535,1.2256,0.2981,71.4
35,532.0,561.6,Motion,0.7239,0.3558,1.2293,0.3597,71.54
36,547.2,576.8,Motion,0.7221,0.3546,1.2756,0.358,71.37
37,562.4,592.0,Motion,0.7269,0.3374,1.2295,0.2827,71.82
38,577.6,607.2,Motion,0.7216,0.3499,1.2419,0.2888,72.13
39,592.8,622.4,Motion,0.7302,0.3611,1.2606,0.3495,72.11
40,608.0,637.6,Motion,0.741,0.3581,1.2552,0.3261,72.67
41,623.2,652.8,Motion,0.7379,0.3544,1.2334,0.2401,73.02
42,638.4,668.0,Motion,0.7359,0.3513,1.281,0.2763,73.39
43,653.6,683.2,Motion,0.7381,0.3579,1.2471,0.2899,73.98
44,668.8,698.4,Motion,0.7536,0.3669,1.2631,0.2542,74.5
45,684.0,713.6,Motion,0.7315,0.373,1.2746,0.2349,74.71
46,699.2,728.8,Normal,0.7236,0.3588,1.2736,0.2566,75.44
47,714.4,744.0,Normal,0.7229,0.3564,1.2985,0.3161,76.5
48,729.6,759.2,Normal,0.7427,0.3594,1.2985,0.2786,77.11
49,744.8,774.4,Normal,0.7466,0.3754,1.2736,0.2369,77.35
50,760.0,789.6,Normal,0.7341,0.3908,1.3521,0.2251,77.96
51,775.2,804.8,Motion,0.7358,0.3639,1.3521,0.2669,78.29
52,790.4,820.0,Motion,0.7472,0.3519,1.2152,0.293,78.65
53,805.6,835.2,Motion,0.7191,0.3579,1.2152,0.2541,79.37
54,820.8,850.4,Motion,0.7302,0.3559,1.2316,0.2488,79.57
55,836.0,865.6,Motion,0.7497,0.3376,1.1775,0.3166,79.8
56,851.2,880.8,Motion,0.7294,0.3547,1.2869,0.313,80.64
57,866.4,896.0,Motion,0.7286,0.3831,1.2869,0.2949,80.75
58,881.6,911.2,Motion,0.7323,0.3772,1.2567,0.2906,80.33
59,896.8,926.4,Motion,0.7422,0.3675,1.2626,0.2954,80.56
60,912.0,941.6,Motion,0.7361,0.3661,1.2633,0.2714,80.67
61,927.2,956.8,Motion,0.7386,0.3593,1.2042,0.2427,80.35
62,942.4,972.0,Motion,0.7302,0.3456,1.184,0.3141,79.86
63,957.6,987.2,Motion,0.7627,0.3416,1.1662,0.3226,79.93
64,972.8,1002.4,Motion,0.724,0.3702,1.27,0.2823,79.4
65,988.0,1017.6,Motion,0.7113,0.366,1.27,0.2835,78.39
66,1003.2,1032.8,Motion,0.7314,0.3613,1.2222,0.3118,78.02
67,1018.4,1048.0,Motion,0.7268,0.3677,1.2511,0.3269,77.83
68,1033.6,1063.2,Motion,0.7231,0.3619,1.2511,0.2947,77.06
69,1048.8,1078.4,Motion,0.7421,0.3542,1.3284,0.2688,76.57
70,1064.0,1093.6,Motion,0.7345,0.3636,1.3284,0.2355,76.07
71,1079.2,1108.8,Normal,0.7268,0.351,1.2169,0.2302,75.26
72,1094.4,1124.0,Normal,0.7385,0.356,1.235,0.2625,74.83
73,1109.6,1139.2,Normal,0.7287,0.3641,1.2349,0.2602,74.47
74,1124.8,1154.4,Normal,0.7426,0.3515,1.2538,0.2687,73.58
75,1140.0,1169.6,Motion,0.75,0.351,1.2538,0.2846,72.8
76,1155.2,1184.8,Motion,0.7359,0.3518,1.2063,0.2987,72.95
77,1170.4,1200.0,Motion,0.7351,0.3515,1.1817,0.3069,72.89
78,1185.6,1215.2,Motion,0.7288,0.3563,1.2345,0.2862,67.33
79,1200.8,1230.4,Motion,0.7273,0.3682,1.2745,0.2594,62.08
80,1216.0,1245.6,Normal,0.737,0.3688,1.2918,0.2659,62.08
81,1231.2,1260.8,Motion,0.7413,0.3579,1.2918,0.2748,62.0
82,1246.4,1276.0,Motion,0.7254,0.3587,1.2461,0.3327,61.77
