epoch_index,timestamp_start,timestamp_end,event_type,RR_mean,RR_std,amplitude,motion_score_mean,HR_mean
0,0.0,29.6,Normal,0.7394,0.3696,1.2626,0.2128,76.8
1,15.2,44.8,Normal,0.7134,0.3572,1.2178,0.2602,77.62
2,30.4,60.0,Normal,0.7179,0.3585,1.2596,0.3163,77.79
3,45.6,75.2,Normal,0.7418,0.3577,1.2541,0.3101,77.97
4,60.8,90.4,Normal,0.7534,0.3411,1.1849,0.3101,78.97
5,76.0,105.6,Normal,0.7342,0.3459,1.2346,0.3199,79.42
6,91.2,120.8,Normal,0.7469,0.3477,1.2305,0.2764,79.53
7,106.4,136.0,Normal,0.7357,0.3655,1.239,0.258,80.04
8,121.6,151.2,Normal,0.709,0.3838,1.2573,0.3199,80.52
9,136.8,166.4,Normal,0.7504,0.366,1.211,0.3085,80.41
10,152.0,181.6,Normal,0.7386,0.3635,1.2571,0.2595,80.51
11,167.2,196.8,Normal,0.7309,0.3827,1.3255,0.2975,80.86
12,182.4,212.0,Normal,0.7404,0.3743,1.3255,0.3198,80.97
13,197.6,227.2,Normal,0.7524,0.3414,1.215,0.3044,80.55
14,212.8,242.4,Normal,0.7372,0.347,1.2106,0.2818,80.07
15,228.0,257.6,Normal,0.7321,0.3672,1.2245,0.2751,79.69
16,243.2,272.8,Normal,0.7275,0.3693,1.2458,0.3278,79.28
17,258.4,288.0,Normal,0.7602,0.3648,1.2346,0.3302,78.86
18,273.6,303.2,Normal,0.7527,0.3623,1.2675,0.2882,78.55
19,288.8,318.4,Normal,0.733,0.3678,1.2675,0.2874,78.27
20,304.0,333.6,Normal,0.7384,0.3681,1.2064,0.249,77.52
21,319.2,348.8,Normal,0.7402,0.3559,1.1847,0.2632,76.76
22,334.4,364.0,Normal,0.7294,0.3655,1.1847,0.293,76.29
23,349.6,379.2,Normal,0.7358,0.3592,1.2381,0.2858,75.61
24,364.8,394.4,Normal,0.7337,0.3568,1.2477,0.2377,75.38
25,380.0,409.6,Normal,0.7434,0.3502,1.2465,0.2075,74.97
26,395.2,424.8,Normal,0.7334,0.3537,1.2396,0.2066,74.22
27,410.4,440.0,Normal,0.7237,0.3667,1.2657,0.2332,73.28
28,425.6,455.2,Normal,0.7376,0.3768,1.2657,0.2413,72.87
