epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
0,0.0,29.95,REM,0.6859,0.1763,0.6859,0.1074,0.0304
1,30.0,59.95,REM,0.6986,0.1578,0.6986,0.1115,0.0321
2,60.0,89.95,REM,0.6854,0.1676,0.6854,0.1149,0.0321
3,90.0,119.95,REM,0.682,0.1689,0.682,0.1164,0.0327
4,120.0,149.95,REM,0.6794,0.1728,0.6794,0.1195,0.0284
5,150.0,179.95,REM,0.6749,0.1776,0.6749,0.1191,0.0284
6,180.0,209.95,REM,0.6698,0.1784,0.6698,0.1234,0.0284
7,210.0,239.95,REM,0.6756,0.1727,0.6756,0.1244,0.0273
8,240.0,269.95,REM,0.6767,0.1727,0.6767,0.1233,0.0273
9,270.0,299.95,REM,0.6733,0.1727,0.6733,0.1266,0.0273
10,300.0,329.95,REM,0.691,0.1651,0.691,0.1184,0.0255
11,330.0,359.95,REM,0.6891,0.1622,0.6891,0.122,0.0267
12,360.0,389.95,REM,0.6907,0.1582,0.6907,0.1244,0.0267
13,390.0,419.95,REM,0.6647,0.171,0.6647,0.1186,0.0457
14,420.0,449.95,Light,0.7161,0.0,0.0503,0.7161,0.2336
15,450.0,479.95,Light,0.7161,0.0,0.0503,0.7161,0.2336
