epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
0,0.0,29.6,Wake,0.9062,0.9062,0.0313,0.0313,0.0313
1,30.0,59.6,Wake,0.9295,0.9295,0.0235,0.0235,0.0235
2,60.0,89.6,Wake,0.9538,0.9538,0.0154,0.0154,0.0154
3,90.0,119.6,Wake,0.9343,0.9343,0.0219,0.0219,0.0219
4,120.0,149.6,Wake,0.9111,0.9111,0.0296,0.0296,0.0296
5,150.0,179.6,Wake,0.9326,0.9326,0.0225,0.0225,0.0225
6,180.0,209.6,Wake,0.9383,0.9383,0.0206,0.0206,0.0206
7,210.0,239.6,Wake,0.9482,0.9482,0.0173,0.0173,0.0173
8,240.0,269.6,Wake,0.9442,0.9442,0.0186,0.0186,0.0186
9,270.0,299.6,Wake,0.9402,0.9402,0.0199,0.0199,0.0199
10,300.0,329.6,Wake,0.9335,0.9335,0.0222,0.0222,0.0222
11,330.0,359.6,Wake,0.9274,0.9274,0.0242,0.0242,0.0242
12,360.0,389.6,Wake,0.9491,0.9491,0.017,0.017,0.017
13,390.0,419.6,Wake,0.9348,0.9348,0.0217,0.0217,0.0217
14,420.0,449.6,Wake,0.9316,0.9316,0.0228,0.0228,0.0228
15,450.0,479.6,Wake,0.9502,0.9502,0.0166,0.0166,0.0166
16,480.0,509.6,Wake,0.928,0.928,0.024,0.024,0.024
17,510.0,539.6,Wake,0.9421,0.9421,0.0193,0.0193,0.0193
18,540.0,569.6,Wake,0.9292,0.9292,0.0236,0.0236,0.0236
19,570.0,599.6,Wake,0.9374,0.9374,0.0209,0.0209,0.0209
20,600.0,629.6,Wake,0.9417,0.9417,0.0194,0.0194,0.0194
21,630.0,659.6,Wake,0.9398,0.9398,0.0201,0.0201,0.0201
22,660.0,689.6,Wake,0.9406,0.9406,0.0198,0.0198,0.0198
23,690.0,719.6,Wake,0.926,0.926,0.0247,0.0247,0.0247
24,720.0,749.6,Wake,0.9269,0.9269,0.0244,0.0244,0.0244
25,750.0,779.6,Wake,0.9408,0.9408,0.0197,0.0197,0.0197
26,780.0,809.6,Wake,0.9209,0.9209,0.0264,0.0264,0.0264
27,810.0,839.6,Wake,0.9351,0.9351,0.0216,0.0216,0.0216
28,840.0,869.6,Wake,0.9397,0.9397,0.0201,0.0201,0.0201
29,870.0,899.6,Wake,0.9564,0.9564,0.0145,0.0145,0.0145
30,900.0,929.6,Wake,0.9451,0.9451,0.0183,0.0183,0.0183
31,930.0,959.6,Wake,0.9503,0.9503,0.0166,0.0166,0.0166
32,960.0,989.6,Wake,0.9315,0.9315,0.0228,0.0228,0.0228
33,990.0,1019.6,Wake,0.9564,0.9564,0.0145,0.0145,0.0145
34,1020.0,1049.6,Wake,0.9535,0.9535,0.0155,0.0155,0.0155
35,1050.0,1079.6,Wake,0.9198,0.9198,0.0267,0.0267,0.0267
36,1080.0,1109.6,Wake,0.937,0.937,0.021,0.021,0.021
37,1110.0,1139.6,Wake,0.9488,0.9488,0.0171,0.0171,0.0171
38,1140.0,1169.6,Wake,0.9416,0.9416,0.0195,0.0195,0.0195
39,1170.0,1199.6,Wake,0.9485,0.9485,0.0172,0.0172,0.0172
40,1200.0,1229.6,Wake,0.9332,0.9332,0.0223,0.0223,0.0223
41,1230.0,1259.6,Wake,0.9396,0.9396,0.0201,0.0201,0.0201
42,1260.0,1289.6,Wake,0.9292,0.9292,0.0236,0.0236,0.0236
43,1290.0,1319.6,Wake,0.9202,0.9202,0.0266,0.0266,0.0266
44,1320.0,1349.6,Wake,0.9364,0.9364,0.0212,0.0212,0.0212
45,1350.0,1379.6,Wake,0.9297,0.9297,0.0234,0.0234,0.0234
46,1380.0,1409.6,Wake,0.949,0.949,0.017,0.017,0.017
47,1410.0,1439.6,Wake,0.9473,0.9473,0.0176,0.0176,0.0176
48,1440.0,1469.6,Wake,0.9425,0.9425,0.0192,0.0192,0.0192
49,1470.0,1499.6,Wake,0.9315,0.9315,0.0228,0.0228,0.0228
50,1500.0,1529.6,Wake,0.9329,0.9329,0.0224,0.0224,0.0224
51,1530.0,1559.6,Wake,0.9419,0.9419,0.0194,0.0194,0.0194
52,1560.0,1589.6,Wake,0.9486,0.9486,0.0171,0.0171,0.0171
53,1590.0,1619.6,Wake,0.9494,0.9494,0.0169,0.0169,0.0169
54,1620.0,1649.6,Wake,0.9569,0.9569,0.0144,0.0144,0.0144
