epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
0,0.001,3.0,REM,0.6665,0.2519,0.6665,0.0758,0.0058
1,3.0,5.905,Wake,0.8714,0.8714,0.1095,0.0147,0.0043
2,5.906,8.714,Wake,0.886,0.886,0.0977,0.0116,0.0046
3,8.718,11.493,Wake,0.867,0.867,0.1179,0.0113,0.0039
4,11.493,14.178,Wake,0.8845,0.8845,0.0958,0.0126,0.0072
5,14.182,16.75,Wake,0.9154,0.9154,0.066,0.0121,0.0066
6,16.755,19.339,Wake,0.8944,0.8944,0.0921,0.0107,0.0029
7,19.34,21.861,Wake,0.904,0.904,0.0818,0.0099,0.0043
8,21.87,24.385,Wake,0.9139,0.9139,0.0708,0.011,0.0043
9,24.388,26.937,Wake,0.916,0.916,0.0686,0.0107,0.0047
10,26.945,29.561,Wake,0.9067,0.9067,0.0793,0.0111,0.0029
11,29.568,36.86,Wake,0.9485,0.9485,0.0403,0.0074,0.0037
