epoch_index,timestamp_start,timestamp_end,motion_type,motion_score,posture_label,posture_confidence,associated_sleep_event
0,0.025,12.915,Major Movement,0.5971,Restless,0.75,Motion
1,6.64,19.403,Major Movement,0.5413,Still – Irregular,0.7,Motion
2,13.128,25.836,Major Movement,0.419,Still – Normal Breathing,0.85,Motion
3,19.602,33.106,Major Movement,0.3565,Still – Normal Breathing,0.85,Motion
4,26.052,40.266,Minor Movement,0.1892,Still – Normal Breathing,0.85,Motion
5,33.334,47.573,Major Movement,0.4411,Restless,0.75,Motion
6,40.453,55.712,Turning,0.6805,Active,0.555,Motion
7,47.775,64.391,Major Movement,0.5633,Restless,0.75,Motion
8,55.991,72.088,Major Movement,0.5508,Restless,0.75,Motion
9,64.689,79.755,Major Movement,0.495,Still – Normal Breathing,0.85,Motion
10,72.35,87.166,Major Movement,0.5431,Restless,0.75,Motion
11,80.018,95.178,Major Movement,0.5446,Restless,0.75,Motion
12,87.476,102.409,Major Movement,0.3756,Still – Normal Breathing,0.85,Motion
13,95.366,109.37,Major Movement,0.4593,Still – Normal Breathing,0.85,Irregular
14,102.658,116.604,Major Movement,0.5005,Still – Normal Breathing,0.85,Irregular
15,109.614,124.15,Major Movement,0.4513,Still – Normal Breathing,0.85,Motion
16,116.817,131.05,Minor Movement,0.3245,Still – Normal Breathing,0.85,Motion
17,124.358,137.375,Major Movement,0.4719,Still – Normal Breathing,0.85,Motion
18,131.236,143.84,Major Movement,0.5062,Still – Normal Breathing,0.85,Motion
19,137.598,149.955,Major Movement,0.5284,Still – Normal Breathing,0.85,Motion
20,144.058,157.825,Turning,0.6613,Restless,0.75,Motion
21,150.226,166.759,Turning,0.7589,Active,0.797,Motion
22,158.123,176.144,Turning,0.6893,Active,0.582,Motion
23,167.046,180.609,Major Movement,0.609,Restless,0.75,Motion
