epoch_index,timestamp_start,timestamp_end,motion_type,motion_score,posture_label,posture_confidence,associated_sleep_event
0,0.0,14.4,Minor Movement,0.1351,Restless,0.75,
1,7.6,22.0,Minor Movement,0.1007,Restless,0.75,
2,15.2,29.6,Minor Movement,0.1241,Restless,0.75,
3,22.8,37.2,Minor Movement,0.1409,Restless,0.75,
4,30.4,44.8,Minor Movement,0.177,Restless,0.75,
5,38.0,52.4,Minor Movement,0.1898,Active,0.574,
6,45.6,60.0,Minor Movement,0.1768,Restless,0.75,
7,53.2,67.6,Minor Movement,0.1672,Restless,0.75,
8,60.8,75.2,Minor Movement,0.2407,Active,0.639,
9,68.4,82.8,Minor Movement,0.2605,Active,0.698,
10,76.0,90.4,Minor Movement,0.1711,Restless,0.75,
11,83.6,98.0,Minor Movement,0.1603,Restless,0.75,
12,91.2,105.6,Minor Movement,0.1758,Restless,0.75,
13,98.8,113.2,Minor Movement,0.139,Restless,0.75,
14,106.4,120.8,Minor Movement,0.1357,Restless,0.75,
15,114.0,128.4,Minor Movement,0.1548,Restless,0.75,
16,121.6,136.0,Minor Movement,0.1373,Restless,0.75,
17,129.2,143.6,Minor Movement,0.1796,Restless,0.75,
18,136.8,151.2,Minor Movement,0.2009,Active,0.599,
19,144.4,158.8,Minor Movement,0.151,Restless,0.75,
20,152.0,166.4,Minor Movement,0.133,Restless,0.75,
21,159.6,174.0,Minor Movement,0.1508,Restless,0.75,
22,167.2,181.6,Minor Movement,0.1621,Restless,0.75,
23,174.8,189.2,Minor Movement,0.1504,Restless,0.75,
24,182.4,196.8,Minor Movement,0.1699,Restless,0.75,
25,190.0,204.4,Minor Movement,0.1912,Active,0.574,
26,197.6,212.0,Minor Movement,0.1888,Active,0.557,
27,205.2,219.6,Minor Movement,0.1544,Restless,0.75,
28,212.8,227.2,Minor Movement,0.1513,Restless,0.75,
29,220.4,234.8,Minor Movement,0.1408,Restless,0.75,
30,228.0,242.4,Minor Movement,0.1454,Restless,0.75,
31,235.6,250.0,Minor Movement,0.1592,Restless,0.75,
32,243.2,257.6,Minor Movement,0.1423,Restless,0.75,
33,250.8,265.2,Minor Movement,0.1826,Active,0.549,
34,258.4,272.8,Minor Movement,0.2203,Active,0.651,
35,266.0,280.4,Minor Movement,0.1582,Restless,0.75,
36,273.6,288.0,Minor Movement,0.143,Restless,0.75,
37,281.2,295.6,Minor Movement,0.149,Restless,0.75,
38,288.8,303.2,Minor Movement,0.2366,Active,0.636,
39,296.4,310.8,Minor Movement,0.259,Active,0.706,
40,304.0,318.4,Minor Movement,0.1376,Restless,0.75,
41,311.6,326.0,Minor Movement,0.1407,Restless,0.75,
42,319.2,333.6,Minor Movement,0.1611,Restless,0.75,
43,326.8,341.2,Minor Movement,0.1592,Restless,0.75,
44,334.4,348.8,Minor Movement,0.1623,Restless,0.75,
45,342.0,356.4,Minor Movement,0.2304,Active,0.571,
46,349.6,364.0,Minor Movement,0.2204,Active,0.543,
47,357.2,371.6,Minor Movement,0.1395,Restless,0.75,
48,364.8,379.2,Minor Movement,0.147,Restless,0.75,
49,372.4,386.8,Minor Movement,0.1339,Restless,0.75,
50,380.0,394.4,Minor Movement,0.1227,Restless,0.75,
51,387.6,402.0,Minor Movement,0.1296,Restless,0.75,
52,395.2,409.6,Minor Movement,0.114,Restless,0.75,
