epoch_index,timestamp_start,timestamp_end,motion_type,motion_score,posture_label,posture_confidence,associated_sleep_event
0,0.0,14.4,Major Movement,0.4002,Restless,0.75,
1,7.6,22.0,Major Movement,0.4046,Active,0.558,
2,15.2,29.6,Major Movement,0.3954,Restless,0.75,
3,22.8,37.2,Major Movement,0.3922,Active,0.539,
4,30.4,44.8,Major Movement,0.3999,Active,0.552,
5,38.0,52.4,Major Movement,0.4028,Active,0.556,
6,45.6,60.0,Major Movement,0.4079,Active,0.557,
7,53.2,67.6,Major Movement,0.4101,Active,0.562,
8,60.8,75.2,Major Movement,0.4138,Active,0.566,
9,68.4,82.8,Major Movement,0.4088,Active,0.565,
10,76.0,90.4,Major Movement,0.4121,Active,0.571,
11,83.6,98.0,Major Movement,0.4142,Active,0.581,
12,91.2,105.6,Major Movement,0.4057,Active,0.552,
13,98.8,113.2,Major Movement,0.4003,Active,0.549,
14,106.4,120.8,Major Movement,0.4064,Active,0.558,
15,114.0,128.4,Major Movement,0.3976,Active,0.554,
16,121.6,136.0,Major Movement,0.3966,Active,0.55,
17,129.2,143.6,Major Movement,0.3997,Active,0.557,
18,136.8,151.2,Major Movement,0.4022,Active,0.552,
19,144.4,158.8,Major Movement,0.4085,Active,0.561,
20,152.0,166.4,Major Movement,0.4207,Active,0.586,
21,159.6,174.0,Major Movement,0.4003,Active,0.553,
22,167.2,181.6,Major Movement,0.4056,Active,0.552,
23,174.8,189.2,Major Movement,0.4097,Active,0.571,
24,182.4,196.8,Major Movement,0.413,Active,0.566,
25,190.0,204.4,Major Movement,0.4088,Active,0.558,
26,197.6,212.0,Major Movement,0.3923,Active,0.541,
27,205.2,219.6,Major Movement,0.412,Active,0.569,
28,212.8,227.2,Major Movement,0.4168,Active,0.579,
29,220.4,234.8,Major Movement,0.4087,Active,0.565,
30,228.0,242.4,Major Movement,0.405,Active,0.553,
31,235.6,250.0,Major Movement,0.4166,Active,0.575,
32,243.2,257.6,Major Movement,0.417,Active,0.578,
33,250.8,265.2,Major Movement,0.4028,Active,0.558,
34,258.4,272.8,Major Movement,0.4,Active,0.554,
35,266.0,280.4,Major Movement,0.4023,Active,0.553,
36,273.6,288.0,Major Movement,0.4072,Active,0.566,
37,281.2,295.6,Major Movement,0.4077,Active,0.563,
38,288.8,303.2,Major Movement,0.4089,Active,0.566,
39,296.4,310.8,Major Movement,0.4094,Active,0.56,
40,304.0,318.4,Major Movement,0.4049,Active,0.563,
41,311.6,326.0,Major Movement,0.4067,Active,0.558,
42,319.2,333.6,Major Movement,0.4057,Active,0.562,
43,326.8,341.2,Major Movement,0.4076,Active,0.567,
44,334.4,348.8,Major Movement,0.3977,Active,0.548,
45,342.0,356.4,Major Movement,0.4016,Active,0.552,
46,349.6,364.0,Major Movement,0.409,Active,0.569,
47,357.2,371.6,Major Movement,0.4116,Active,0.572,
48,364.8,379.2,Major Movement,0.4196,Active,0.582,
49,372.4,386.8,Major Movement,0.4229,Active,0.581,
50,380.0,394.4,Major Movement,0.4097,Active,0.559,
51,387.6,402.0,Major Movement,0.4015,Active,0.548,
52,395.2,409.6,Major Movement,0.4025,Active,0.554,
53,402.8,417.2,Major Movement,0.4049,Active,0.555,
54,410.4,424.8,Major Movement,0.4039,Active,0.556,
55,418.0,432.4,Major Movement,0.4012,Active,0.55,
56,425.6,440.0,Major Movement,0.4035,Active,0.555,
57,433.2,447.6,Major Movement,0.4099,Active,0.575,
58,440.8,455.2,Major Movement,0.4033,Active,0.558,
59,448.4,462.8,Major Movement,0.409,Active,0.57,
60,456.0,470.4,Major Movement,0.4141,Active,0.564,
61,463.6,478.0,Major Movement,0.4056,Active,0.557,
62,471.2,485.6,Major Movement,0.4149,Active,0.573,
63,478.8,493.2,Major Movement,0.4125,Active,0.574,
64,486.4,500.8,Major Movement,0.3944,Active,0.552,
65,494.0,508.4,Major Movement,0.398,Active,0.549,
66,501.6,516.0,Major Movement,0.3981,Active,0.543,
67,509.2,523.6,Major Movement,0.3971,Active,0.55,
68,516.8,531.2,Major Movement,0.4235,Active,0.587,
69,524.4,538.8,Major Movement,0.4243,Active,0.594,
70,532.0,546.4,Major Movement,0.4154,Active,0.566,
71,539.6,554.0,Major Movement,0.4109,Active,0.567,
72,547.2,561.6,Major Movement,0.4044,Active,0.561,
73,554.8,569.2,Major Movement,0.3952,Active,0.546,
74,562.4,576.8,Major Movement,0.3972,Active,0.539,
75,570.0,584.4,Major Movement,0.4042,Active,0.551,
76,577.6,592.0,Major Movement,0.4154,Active,0.572,
77,585.2,599.6,Major Movement,0.4115,Active,0.568,
78,592.8,607.2,Major Movement,0.4092,Active,0.563,
79,600.4,614.8,Major Movement,0.4165,Active,0.571,
80,608.0,622.4,Major Movement,0.4134,Active,0.563,
81,615.6,630.0,Major Movement,0.4045,Active,0.56,
82,623.2,637.6,Major Movement,0.3952,Active,0.548,
83,630.8,645.2,Major Movement,0.4047,Active,0.553,
84,638.4,652.8,Major Movement,0.4078,Active,0.567,
