time_sec,phase,chest_displacement,breathing_wave,heart_wave
0.0,-0.06662242488885234,-0.06662242488885234,0.0,0.0
0.05,0.13895065081425056,0.13895065081425056,0.0,0.0
0.1,0.3651187924080448,0.3651187924080448,0.0,0.0
0.15,0.2945163671880044,0.2945163671880044,0.0,0.0
0.2,0.31044976781473804,0.31044976781473804,0.0,0.0
0.25,0.3783094158708269,0.3783094158708269,0.0,0.0
0.3,0.46984763354811665,0.46984763354811665,0.0,0.0
0.35,0.3392011885056468,0.3392011885056468,0.0,0.0
0.4,0.3460705586691654,0.3460705586691654,0.0,0.0
0.45,0.4252779633156123,0.4252779633156123,0.0,0.0
0.5,0.3495692095598126,0.3495692095598126,0.0,0.0
0.55,0.49768400101224997,0.49768400101224997,0.0,0.0
0.6,0.47669439264234725,0.47669439264234725,0.0,0.0
0.65,0.7341127016754972,0.7341127016754972,0.0,0.0
0.7,0.766355858063823,0.766355858063823,0.0,0.0
0.75,0.8712525566202483,0.8712525566202483,0.0,0.0
0.8,0.893156489719954,0.893156489719954,0.0,0.0
0.85,0.943224650768729,0.943224650768729,0.0,0.0
0.9,0.9229179481283704,0.9229179481283704,0.0,0.0
0.95,0.8588566939666352,0.8588566939666352,0.0,0.0
1.0,0.8108176451184597,0.8108176451184597,0.0,0.0
1.05,0.7245503085669596,0.7245503085669596,0.0,0.0
1.1,0.6982117340024627,0.6982117340024627,0.0,0.0
1.15,0.5739733408630887,0.5739733408630887,0.0,0.0
1.2,0.6736017965554013,0.6736017965554013,0.0,0.0
1.25,0.6159210021204352,0.6159210021204352,0.0,0.0
1.3,0.7431873258919595,0.7431873258919595,0.0,0.0
1.35,0.6951947604173763,0.6951947604173763,0.14410083496394477,-0.01635631560391203
1.4,0.6862265188297815,0.6862265188297815,0.13613437847199064,-0.029160364981232492
1.45,0.7312152479859405,0.7312152479859405,0.12029711849889183,-0.036599295322614196
1.5,0.6900864696148429,0.6900864696148429,0.11352160772747104,-0.03543019382871773
1.55,0.6169074862748787,0.6169074862748787,0.10948642829456537,-0.026778512023902207
1.6,0.5668509125595428,0.5668509125595428,0.10165457874921839,-0.013425827066505391
1.65,0.4455478582416142,0.4455478582416142,0.10129553362307858,0.0028077699200044592
1.7,0.19042616091709427,0.19042616091709427,0.11570085842845834,0.019343108937671032
